id,left,top,right,bottom,row_index,col_index,x,y,fid,osm_id,osm_way_id,name,type,aeroway,amenity,admin_level,barrier,boundary,building,craft,geological,historic,land_area,landuse,leisure,man_made,military,natural,office,place,shop,sport,tourism,other_tags,layer,path,proj_id
259,77.2723675,23.2893564,77.2728675,23.2888564,18,6,77.2726175,23.2891064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,259
300,77.2728675,23.2888564,77.2733675,23.2883564,19,7,77.2731175,23.2886064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,300
306,77.2728675,23.2858564,77.2733675,23.2853564,25,7,77.2731175,23.2856064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,306
307,77.2728675,23.2853564,77.2733675,23.2848564,26,7,77.2731175,23.2851064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,307
338,77.2733675,23.2898564,77.2738675,23.2893564,17,8,77.2736175,23.2896064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,338
339,77.2733675,23.2893564,77.2738675,23.2888564,18,8,77.2736175,23.2891064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,339
340,77.2733675,23.2888564,77.2738675,23.2883564,19,8,77.2736175,23.2886064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,340
341,77.2733675,23.2883564,77.2738675,23.2878564,20,8,77.2736175,23.2881064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,341
346,77.2733675,23.2858564,77.2738675,23.2853564,25,8,77.2736175,23.2856064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,346
347,77.2733675,23.2853564,77.2738675,23.2848564,26,8,77.2736175,23.2851064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,347
377,77.2738675,23.2903564,77.2743675,23.2898564,16,9,77.2741175,23.2901064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,377
380,77.2738675,23.2888564,77.2743675,23.2883564,19,9,77.2741175,23.2886064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,380
381,77.2738675,23.2883564,77.2743675,23.2878564,20,9,77.2741175,23.2881064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,381
382,77.2738675,23.2878564,77.2743675,23.2873564,21,9,77.2741175,23.2876064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,382
383,77.2738675,23.2873564,77.2743675,23.2868564,22,9,77.2741175,23.2871064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,383
384,77.2738675,23.2868564,77.2743675,23.2863564,23,9,77.2741175,23.2866064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,384
386,77.2738675,23.2858564,77.2743675,23.2853564,25,9,77.2741175,23.2856064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,386
