id,left,top,right,bottom,row_index,col_index,x,y,fid,osm_id,osm_way_id,name,type,aeroway,amenity,admin_level,barrier,boundary,building,craft,geological,historic,land_area,landuse,leisure,man_made,military,natural,office,place,shop,sport,tourism,other_tags,layer,path,proj_id
12,77.2693675,23.2928564,77.2698675,23.2923564,11,0,77.2696175,23.2926064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,12
13,77.2693675,23.2923564,77.2698675,23.2918564,12,0,77.2696175,23.2921064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,13
14,77.2693675,23.2918564,77.2698675,23.2913564,13,0,77.2696175,23.2916064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,14
50,77.2698675,23.2938564,77.2703675,23.2933564,9,1,77.2701175,23.2936064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,50
51,77.2698675,23.2933564,77.2703675,23.2928564,10,1,77.2701175,23.2931064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,51
52,77.2698675,23.2928564,77.2703675,23.2923564,11,1,77.2701175,23.2926064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,52
53,77.2698675,23.2923564,77.2703675,23.2918564,12,1,77.2701175,23.2921064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,53
54,77.2698675,23.2918564,77.2703675,23.2913564,13,1,77.2701175,23.2916064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,54
55,77.2698675,23.2913564,77.2703675,23.2908564,14,1,77.2701175,23.2911064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,55
88,77.2703675,23.2948564,77.2708675,23.2943564,7,2,77.2706175,23.2946064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,88
