origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
175,175,,,,
175,170,11.6962451,571.2130159,14.3743230,597.2835840
175,168,11.6962451,543.1827702,54.2759901,609.1550055
175,136,11.6962451,621.3466068,2.1686540,635.2115059
175,135,11.6962451,649.5078332,43.0846437,704.2887221
175,134,11.6962451,75.2777944,10.4682861,97.4423256
175,132,11.6962451,196.3752066,18.6842549,226.7557066
175,131,11.6962451,260.8703773,39.9772148,312.5438372
175,130,11.6962451,619.6406586,3.9642571,635.3011608
175,128,11.6962451,801.1068384,42.0041098,854.8071933
175,95,11.6962451,692.3133920,16.9233316,720.9329687
175,94,11.6962451,262.0923477,44.0247222,317.8133151
175,93,11.6962451,227.0629587,3.7958535,242.5550573
175,90,11.6962451,682.6059035,15.4679509,709.7700995
175,89,11.6962451,735.0178321,3.3902011,750.1042783
175,88,11.6962451,788.7989368,8.0691752,808.5643572
175,55,11.6962451,739.2854057,0.9714471,751.9530979
175,54,11.6962451,272.3079175,31.4846405,315.4888031
175,53,11.6962451,266.8842767,31.5834273,310.1639491
175,52,11.6962451,781.8895990,28.0319924,821.6178366
175,51,11.6962451,736.1949838,2.7479753,750.6392042
175,50,11.6962451,705.8961842,46.8920610,764.4844903
175,14,11.6962451,819.2246049,0.2952324,831.2160824
175,13,11.6962451,867.0997013,5.2894078,884.0853542
175,12,11.6962451,812.2878355,2.1915810,826.1756617
175,8,11.6962451,342.5882051,33.3777019,387.6621522
175,7,11.6962451,260.8703773,33.3299605,305.8965830
175,6,11.6962451,265.7378925,43.6741535,321.1082911
175,5,11.6962451,640.4155962,38.1097472,690.2215886
175,3,11.6962451,154.5070276,35.1058881,201.3091608
175,2,11.6962451,184.3237724,47.5489897,243.5690072
175,1,11.6962451,247.2253223,26.8255576,285.7471250
175,456,11.6962451,647.8224729,19.5910642,679.1097822
175,455,11.6962451,697.2785603,5.2117528,714.1865582
175,454,11.6962451,751.1354140,6.2914062,769.1230653
175,453,11.6962451,700.1416062,0.8328131,712.6706644
175,415,11.6962451,683.5545847,44.5915190,739.8423489
175,414,11.6962451,740.4702295,56.6395970,808.8060716
175,413,11.6962451,662.7103249,26.6065063,701.0130764
175,372,11.6962451,604.7075448,35.7095011,652.1132910
175,371,11.6962451,523.6458681,3.0290891,538.3712024
175,337,11.6962451,283.6188043,7.5323370,302.8473864
175,332,11.6962451,496.8840708,69.0176933,577.5980093
175,331,11.6962451,473.0937138,16.1959945,500.9859535
175,298,11.6962451,348.5908489,17.7527014,378.0397955
175,297,11.6962451,241.6073792,24.3297058,277.6333301
175,294,11.6962451,184.6262527,0.2574061,196.5799040
175,293,11.6962451,239.0782219,8.9756786,259.7501457
175,292,11.6962451,293.0771195,18.7050913,323.4784559
175,291,11.6962451,422.8036599,28.1502855,462.6501906
175,290,11.6962451,411.9253444,25.7882717,449.4098613
175,254,11.6962451,115.3055674,25.1120495,152.1138620
175,252,11.6962451,347.5106170,33.0618292,392.2686914
175,251,11.6962451,353.9543499,21.8084457,387.4590408
175,249,11.6962451,461.2177309,16.4118105,489.3257866
175,248,,,,
175,218,11.6962451,474.6322769,0.2919914,486.6205134
175,169,11.6962451,695.7052795,27.5496030,734.9511277
175,168,11.6962451,553.4572345,45.4150378,610.5685174
175,152,11.6962451,262.5495482,23.8215355,298.0673288
175,151,11.6962451,106.7232086,43.5199927,161.9394464
175,150,11.6962451,398.0148947,19.4034483,429.1145881
175,149,11.6962451,125.8266038,13.7327478,151.2555968
175,148,11.6962451,67.8162124,12.6825019,92.1949595
175,147,11.6962451,711.9782582,24.6081545,748.2826578
175,146,11.6962451,342.2983487,42.7591230,396.7537168
175,145,11.6962451,644.4211453,31.1294968,687.2468872
175,120,11.6962451,164.4105875,18.8062422,194.9130748
175,119,11.6962451,274.2529806,80.7553926,366.7046184
175,117,11.6962451,305.4173810,28.3024783,345.4161044
175,116,11.6962451,203.6014874,24.9175509,240.2152834
175,115,11.6962451,172.6451851,23.2313424,207.5727727
175,114,11.6962451,168.7775943,86.0505271,266.5243665
175,10,11.6962451,674.8388019,50.5392008,737.0742478
175,216,11.6962451,75.2772572,12.9160206,99.8895229
175,211,11.6962451,342.5882051,20.4342349,374.7186851
175,210,11.6962451,553.8733066,13.3798586,578.9494104
175,208,11.6962451,538.4049486,3.2849605,553.3861543
175,177,11.6962451,544.9888099,1.8429503,558.5280054
175,176,11.6962451,583.8402346,32.5873963,628.1238760
170,175,14.3743230,571.2130159,11.6962451,597.2835840
170,170,,,,
170,168,14.3743230,166.6461391,54.2759901,235.2964522
170,136,14.3743230,549.8902451,2.1686540,566.4332221
170,135,14.3743230,521.7290187,43.0846437,579.1879854
170,134,14.3743230,538.6186543,10.4682861,563.4612633
170,132,14.3743230,417.5212421,18.6842549,450.5798199
170,131,14.3743230,400.9247312,39.9772148,455.2762690
170,130,14.3743230,48.4276427,3.9642571,66.7662227
170,128,14.3743230,229.8938225,42.0041098,286.2722552
170,95,14.3743230,478.9234599,16.9233316,510.2211145
170,94,14.3743230,543.5365257,44.0247222,601.9355709
170,93,14.3743230,508.5071367,3.7958535,526.6773132
170,90,14.3743230,111.3928876,15.4679509,141.2351615
170,89,14.3743230,163.8048162,3.3902011,181.5693403
170,88,14.3743230,217.5859209,8.0691752,240.0294191
170,55,14.3743230,431.9514463,0.9714471,447.2972163
170,54,14.3743230,553.7520956,31.4846405,599.6110590
170,53,14.3743230,548.3284547,31.5834273,594.2862050
170,52,14.3743230,210.6765831,28.0319924,253.0828985
170,51,14.3743230,164.9819679,2.7479753,182.1042662
170,50,14.3743230,134.6831683,46.8920610,195.9495522
170,14,14.3743230,352.0122470,0.2952324,366.6818024
170,13,14.3743230,295.8866854,5.2894078,315.5504161
170,12,14.3743230,241.0748196,2.1915810,257.6407236
170,8,14.3743230,311.7919610,33.3777019,359.5439859
170,7,14.3743230,400.9247312,33.3299605,448.6290147
170,6,14.3743230,547.1820705,43.6741535,605.2305469
170,5,14.3743230,530.8212557,38.1097472,583.3053258
170,3,14.3743230,603.6421491,35.1058881,653.1223602
170,2,14.3743230,465.7679504,47.5489897,527.6912630
170,1,14.3743230,528.6695003,26.8255576,569.8693809
170,456,14.3743230,673.0272549,19.5910642,706.9926421
170,455,14.3743230,623.5711676,5.2117528,643.1572434
170,454,14.3743230,569.7143138,6.2914062,590.3800429
170,453,14.3743230,502.9157290,0.8328131,518.1228651
170,415,14.3743230,637.2951431,44.5915190,696.2609851
170,414,14.3743230,580.3794983,56.6395970,651.3934183
170,413,14.3743230,465.4844478,26.6065063,506.4652770
170,372,14.3743230,407.4816676,35.7095011,457.5654916
170,371,14.3743230,326.4199910,3.0290891,343.8234031
170,337,14.3743230,591.4048439,7.5323370,613.3115038
170,332,14.3743230,299.6581937,69.0176933,383.0502100
170,331,14.3743230,275.8678367,16.1959945,306.4381542
170,298,14.3743230,656.3768885,17.7527014,688.5039129
170,297,14.3743230,549.3934187,24.3297058,588.0974475
170,294,14.3743230,386.5867631,0.2574061,401.2184922
170,293,14.3743230,332.1347939,8.9756786,355.4847955
170,292,14.3743230,278.1358964,18.7050913,311.2153107
170,291,14.3743230,225.5777828,28.1502855,268.1023912
170,290,14.3743230,214.6994673,25.7882717,254.8620620
170,254,14.3743230,455.9074485,25.1120495,495.3938210
170,252,14.3743230,266.3858317,33.0618292,313.8219839
170,251,14.3743230,259.9420987,21.8084457,296.1248674
170,249,14.3743230,109.9952849,16.4118105,140.7814184
170,248,,,,
170,218,14.3743230,705.3212361,0.2919914,719.9875504
170,169,14.3743230,124.4922637,27.5496030,166.4161896
170,168,14.3743230,17.7557814,45.4150378,77.5451421
170,152,14.3743230,570.3355877,23.8215355,608.5314462
170,151,14.3743230,464.4898073,43.5199927,522.3841230
170,150,14.3743230,173.1981211,19.4034483,206.9758924
170,149,14.3743230,445.3864121,13.7327478,473.4934829
170,148,14.3743230,503.3968034,12.6825019,530.4536283
170,147,14.3743230,140.7652423,24.6081545,179.7477198
170,146,14.3743230,650.0843882,42.7591230,707.2178342
170,145,14.3743230,73.2081294,31.1294968,118.7119491
170,120,14.3743230,449.4858612,18.8062422,482.6664263
170,119,14.3743230,339.6434680,80.7553926,434.7731837
170,117,14.3743230,360.6508912,28.3024783,403.3276924
170,116,14.3743230,485.0456655,24.9175509,524.3375393
170,115,14.3743230,646.6214288,23.2313424,684.2270942
170,114,14.3743230,402.4354216,86.0505271,502.8602716
170,10,14.3743230,496.3980500,50.5392008,561.3115737
170,216,14.3743230,628.4908543,12.9160206,655.7811978
170,211,14.3743230,311.7919610,20.4342349,346.6005189
170,210,14.3743230,65.5503653,13.3798586,93.3045469
170,208,14.3743230,161.8683175,3.2849605,179.5276010
170,177,14.3743230,626.2480420,1.8429503,642.4653153
170,176,14.3743230,587.3966173,32.5873963,634.3583366
168,175,54.2759901,543.1827702,11.6962451,609.1550055
168,170,54.2759901,166.6461391,14.3743230,235.2964522
168,168,,,,
168,136,54.2759901,716.5363843,2.1686540,772.9810284
168,135,54.2759901,688.3751578,43.0846437,785.7357917
168,134,54.2759901,510.5884086,10.4682861,575.3326848
168,132,54.2759901,389.4909965,18.6842549,462.4512414
168,131,54.2759901,372.8944856,39.9772148,467.1476905
168,130,54.2759901,215.0737819,3.9642571,273.3140290
168,128,54.2759901,396.5399616,42.0041098,492.8200615
168,95,54.2759901,645.5695991,16.9233316,716.7689208
168,94,54.2759901,515.5062801,44.0247222,613.8069924
