fid,osm_id,osm_way_id,name,type,aeroway,amenity,admin_level,barrier,boundary,building,craft,geological,historic,land_area,landuse,leisure,man_made,military,natural,office,place,shop,sport,tourism,other_tags,x,y
1,"6168358",,BRAINSPACE,multipolygon,,,,,,yes,,,,,,,,,,,,,,hostel,,77.2702765515,23.2922909995
2,"6168359",,Hostel 5 - CRANE,multipolygon,,,,,,yes,,,,,,,,,,,,,,hostel,,77.2709024355,23.2928284109
3,"6168362",,Hostel 1 - HAWK,multipolygon,,,,,,yes,,,,,,,,,,,,,,hostel,,77.2727035616,23.289899157
5,"13384408",,Hostel 2 - EAGLE,multipolygon,,,,,,yes,,,,,,,,,,,,,,hostel,,77.2711665311,23.291021351
6,"13384409",,Hostel 3 - SILVERBILL,multipolygon,,,,,,yes,,,,,,,,,,,,,,hostel,,77.2705895328,23.2915861561
7,"13384410",,Hostel 6 - SWAN,multipolygon,,,,,,yes,,,,,,,,,,,,,,hostel,,77.2714375478,23.2932448122
8,"13384411",,Hostel 7 - SUNBIRD,multipolygon,,,,,,yes,,,,,,,,,,,,,,hostel,,77.2722708449,23.2933523485
10,,"413257691",Mess - 2,,,restaurant,,,,yes,,,,,,,,,,,,,,,,77.2708841404,23.2913231123
109,,"422392660",Apartment Tower - E,,,,,,,apartments,,,,,,,,,,,,,,,"""addr:city""=>""Bhopal"",""addr:postcode""=>""462066"",""addr:street""=>""IISER Bhopal Road""",77.2754422974,23.280191905
110,,"422392663",Apartment Tower - A,,,,,,,apartments,,,,,,,,,,,,,,,"""addr:city""=>""Bhopal"",""addr:postcode""=>""462066"",""addr:street""=>""IISER Bhopal Road""",77.2743878622,23.2818271809
111,,"422392664",Director's Residence,,,,,,,,,,,,residential,,,,,,,,,,"""addr:city""=>""Bhopal"",""addr:postcode""=>""462066"",""addr:street""=>""IISER Bhopal Road""",77.274486804,23.2841932567
112,,"422392665",Duplex Houses - D-1 to D-5,,,,,,,,,,,,residential,,,,,,,,,,"""addr:city""=>""Bhopal"",""addr:postcode""=>""462066"",""addr:street""=>""IISER Bhopal Road""",77.2737282829,23.2840047669
114,,"997548409",Athletic Track,,,,,,,,,,,,,track,,,,,,,running,,,77.2739662601,23.2916073113
115,,"997550775",Mess - 1,,,restaurant,,,,yes,,,,,,,,,,,,,,,,77.2721587551,23.2899878036
116,,"997560777",Mess - 3,,,restaurant,,,,yes,,,,,,,,,,,,,,,,77.2706021051,23.2925343014
117,,"997560782",Mess - 4,,,restaurant,,,,yes,,,,,,,,,,,,,,,,77.2718371286,23.293301179
118,,"997560784",,,,,,,,yes,,,,,,,storage_tank,,,,,,,,"""content""=>""water"",""description""=>""Under Ground Water Tank - 1"",""operator""=>""Under Ground Water Tank - 1""",77.273368973,23.2885123613
119,,"997672242",Cricket Ground,,,,,,,,,,,,,pitch,,,,,,,cricket,,,77.2719682057,23.2920858709
120,,"997672243",Ideation Hut,,,cafe,,,,yes,,,,,,,,,,,,,,,,77.271130149,23.2921446828
