id,left,top,right,bottom,row_index,col_index,x,y
512,77.2693675,23.2928564,77.2698675,23.2923564,11,0,77.2696175,23.2926064
513,77.2693675,23.2923564,77.2698675,23.2918564,12,0,77.2696175,23.2921064
514,77.2693675,23.2918564,77.2698675,23.2913564,13,0,77.2696175,23.2916064
550,77.2698675,23.2938564,77.2703675,23.2933564,9,1,77.2701175,23.2936064
551,77.2698675,23.2933564,77.2703675,23.2928564,10,1,77.2701175,23.2931064
552,77.2698675,23.2928564,77.2703675,23.2923564,11,1,77.2701175,23.2926064
553,77.2698675,23.2923564,77.2703675,23.2918564,12,1,77.2701175,23.2921064
554,77.2698675,23.2918564,77.2703675,23.2913564,13,1,77.2701175,23.2916064
555,77.2698675,23.2913564,77.2703675,23.2908564,14,1,77.2701175,23.2911064
588,77.2703675,23.2948564,77.2708675,23.2943564,7,2,77.2706175,23.2946064
589,77.2703675,23.2943564,77.2708675,23.2938564,8,2,77.2706175,23.2941064
590,77.2703675,23.2938564,77.2708675,23.2933564,9,2,77.2706175,23.2936064
593,77.2703675,23.2923564,77.2708675,23.2918564,12,2,77.2706175,23.2921064
594,77.2703675,23.2918564,77.2708675,23.2913564,13,2,77.2706175,23.2916064
595,77.2703675,23.2913564,77.2708675,23.2908564,14,2,77.2706175,23.2911064
621,77.2708675,23.2983564,77.2713675,23.2978564,0,3,77.2711175,23.2981064
622,77.2708675,23.2978564,77.2713675,23.2973564,1,3,77.2711175,23.2976064
623,77.2708675,23.2973564,77.2713675,23.2968564,2,3,77.2711175,23.2971064
624,77.2708675,23.2968564,77.2713675,23.2963564,3,3,77.2711175,23.2966064
625,77.2708675,23.2963564,77.2713675,23.2958564,4,3,77.2711175,23.2961064
626,77.2708675,23.2958564,77.2713675,23.2953564,5,3,77.2711175,23.2956064
627,77.2708675,23.2953564,77.2713675,23.2948564,6,3,77.2711175,23.2951064
628,77.2708675,23.2948564,77.2713675,23.2943564,7,3,77.2711175,23.2946064
630,77.2708675,23.2938564,77.2713675,23.2933564,9,3,77.2711175,23.2936064
631,77.2708675,23.2933564,77.2713675,23.2928564,10,3,77.2711175,23.2931064
